Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,14,14,18,99,-51,-45,-94,-27,12,227,48,-86,-106,42,15,45,119,-53,-43,-46,-26,-10,249,17,15,-162
50,14,14,19,97,-45,-19,-91,-25,10,232,47,-86,-103,43,15,47,118,-65,-39,-45,-24,-10,244,17,16,-163
100,14,14,18,93,-53,-33,-70,-26,5,232,47,-85,-107,50,15,49,117,-59,-59,-50,-24,-13,239,18,15,-164
150,14,14,18,95,-30,-30,-75,-28,15,236,49,-87,-102,61,16,44,114,-44,-49,-57,-23,-6,242,18,17,-161
200,14,14,18,96,-53,-42,-78,-22,7,233,47,-86,-107,61,16,41,111,-55,-53,-65,-22,-8,240,17,16,-164
250,14,14,18,95,-49,-39,-83,-24,17,237,48,-87,-105,51,16,46,106,-48,-70,-68,-27,-9,240,18,16,-163
300,14,14,18,95,-50,-53,-57,-25,8,236,48,-85,-104,46,17,43,99,-63,-89,-57,-25,-7,244,18,15,-163
350,14,14,18,91,-34,-36,-90,-25,8,235,47,-86,-105,45,18,45,96,-64,-56,-54,-25,-9,239,18,16,-161
400,14,14,18,91,-12,-37,-70,-24,10,228,48,-85,-103,47,18,45,95,-80,-72,-62,-26,-11,249,17,15,-164
450,14,14,18,95,14,-25,-80,-25,5,234,47,-86,-105,44,18,47,96,-101,-45,-53,-25,-7,244,18,16,-163
500,14,14,18,104,67,9,-78,-22,10,236,48,-85,-104,47,17,45,101,-176,-8,-64,-24,-9,244,17,16,-164
550,14,13,18,119,116,17,-68,-30,13,234,46,-86,-104,48,17,47,114,-236,-8,-88,-25,-7,244,17,16,-161
600,14,13,17,135,97,10,-74,-21,10,232,48,-86,-105,41,16,41,133,-222,12,-56,-29,-8,246,17,15,-165
650,14,14,17,146,67,24,-82,-27,11,233,48,-87,-104,36,15,36,152,-193,-20,-85,-28,-15,239,17,15,-162
