Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,22,16,15,14,10,0,0,0,0,0,-1792,0,0,58,14,24,50,210,0,0,0,0,0,0,0,0
0,20,16,15,14,10,0,0,0,0,0,-1792,0,0,64,14,18,65,210,0,0,0,0,0,0,0,0
50,21,16,15,14,10,0,0,0,0,0,-1792,0,0,65,14,18,63,210,0,0,0,0,0,0,0,0
100,20,16,15,14,10,0,0,0,0,0,-1792,0,0,63,14,18,64,210,0,0,0,0,0,0,0,0
150,20,16,15,14,10,0,0,0,0,0,-1792,0,0,65,14,18,65,210,0,0,0,0,0,0,0,0
200,20,16,15,14,10,0,0,0,0,0,-1792,0,0,64,14,18,68,210,0,0,0,0,0,0,0,0
250,19,16,15,14,10,0,0,0,0,0,-1792,0,0,63,14,18,71,210,0,0,0,0,0,0,0,0
300,17,16,15,14,10,0,0,0,0,0,-1792,0,0,67,14,18,70,210,0,0,0,0,0,0,0,0
350,17,16,15,14,10,0,0,0,0,0,-1792,0,0,66,14,18,74,210,0,0,0,0,0,0,0,0
400,18,16,15,14,10,0,0,0,0,0,-1792,0,0,63,14,19,77,210,0,0,0,0,0,0,0,0
450,18,16,15,14,10,0,0,0,0,0,-1792,0,0,62,14,18,78,210,0,0,0,0,0,0,0,0
500,17,15,15,14,10,0,0,0,0,0,-1792,0,0,68,14,20,73,210,0,0,0,0,0,0,0,0
550,17,16,15,14,10,0,0,0,0,0,-1792,0,0,65,14,18,75,210,0,0,0,0,0,0,0,0
600,18,16,15,14,10,0,0,0,0,0,-1792,0,0,65,14,18,74,210,0,0,0,0,0,0,0,0
650,18,16,15,14,10,0,0,0,0,0,-1792,0,0,63,14,19,75,210,0,0,0,0,0,0,0,0
700,17,15,15,14,10,0,0,0,0,0,-1792,0,0,65,14,18,76,210,0,0,0,0,0,0,0,0
750,18,16,15,14,10,0,0,0,0,0,-1792,0,0,67,14,18,74,210,0,0,0,0,0,0,0,0
800,18,16,15,14,10,0,0,0,0,0,-1792,0,0,65,14,18,75,210,0,0,0,0,0,0,0,0
850,18,16,15,15,10,0,0,0,0,0,-1792,0,0,62,14,19,74,210,0,0,0,0,0,0,0,0
900,17,16,15,14,10,0,0,0,0,0,-1792,0,0,63,14,18,74,210,0,0,0,0,0,0,0,0
950,18,16,15,14,10,0,0,0,0,0,-1792,0,0,66,11,18,78,210,0,0,0,0,0,0,0,0
1000,18,16,15,14,10,0,0,0,0,0,-1792,0,0,66,14,19,77,210,0,0,0,0,0,0,0,0
1050,18,16,15,14,10,0,0,0,0,0,-1792,0,0,68,14,19,75,210,0,0,0,0,0,0,0,0
1100,18,16,15,14,10,0,0,0,0,0,-1792,0,0,67,14,19,74,210,0,0,0,0,0,0,0,0
