WAGYRO;10
Time;Ax;Ay;Az;Gx;Gy;Gz;Hx;Hy;Hz;Temp;AnBat;Angle
0;806;810;765;764;764;383;-293;-188;376;229;863;173;
1;807;810;765;764;764;384;-292;-185;373;229;862;283;
2;805;809;764;765;764;384;-291;-193;371;229;861;282;
3;805;809;764;765;764;384;-285;-188;377;229;862;207;
4;805;809;764;765;764;384;-294;-193;380;229;861;207;
5;805;810;765;765;764;384;-291;-190;375;229;862;197;
6;805;809;765;765;764;384;-290;-189;376;229;861;197;
7;805;809;765;764;764;384;-297;-189;373;229;861;279;
8;806;809;766;765;764;384;-292;-190;375;229;861;279;
9;806;809;766;764;764;384;-296;-189;377;229;861;283;
10;806;809;764;764;764;384;-295;-185;376;229;861;282;
11;806;808;764;765;765;385;-300;-188;367;229;861;282;
12;806;808;764;765;764;384;-292;-194;374;229;861;282;
13;807;809;765;765;764;384;-299;-192;368;229;861;283;
14;807;809;765;764;764;384;-291;-188;377;229;861;282;
15;807;808;766;765;764;384;-289;-185;376;229;861;282;
16;807;809;765;765;764;384;-297;-185;369;229;861;207;
17;807;809;765;764;765;384;-295;-189;370;229;860;207;
18;807;809;765;764;764;384;-290;-191;371;229;861;197;
19;807;809;766;765;765;383;-289;-193;372;229;860;197;
20;806;810;765;765;765;384;-291;-188;376;229;860;278;
21;805;810;764;764;765;384;-292;-187;374;229;860;278;
22;806;809;764;764;764;384;-296;-187;371;230;860;282;
23;806;809;764;765;764;384;-291;-185;372;229;860;282;
24;806;809;765;765;764;384;-289;-181;373;229;860;282;
25;805;809;765;765;765;384;-294;-191;377;229;859;282;
26;805;810;765;765;765;385;-295;-189;375;229;860;282;
27;806;810;766;765;764;385;-290;-189;371;229;860;282;
28;807;809;766;765;764;385;-298;-184;377;229;860;282;
29;807;808;765;765;764;384;-294;-185;375;229;860;207;
30;806;810;764;764;765;384;-293;-190;374;229;860;207;
31;806;809;765;764;764;384;-297;-183;369;229;860;196;
32;806;808;765;764;764;384;-292;-186;372;229;859;272;
33;806;809;765;764;764;384;-295;-188;374;230;859;277;
34;806;808;764;764;764;384;-288;-190;373;229;859;277;
35;806;808;764;765;764;384;-293;-190;370;230;860;281;
36;805;809;764;764;764;384;-295;-186;373;229;859;281;
37;805;808;765;765;764;384;-299;-184;376;229;859;281;
38;806;808;765;765;764;384;-293;-183;374;229;859;281;
39;806;809;766;765;764;384;-294;-182;377;229;859;281;
40;806;810;766;765;765;384;-290;-187;375;229;859;281;
41;806;809;765;764;764;384;-289;-185;374;229;859;281;
42;806;809;766;764;765;384;-290;-184;367;229;859;206;
43;806;808;765;765;764;384;-290;-183;375;229;859;206;
44;806;808;765;764;764;384;-295;-188;377;229;859;196;
45;807;809;764;764;764;384;-294;-185;372;229;859;276;
46;806;808;764;764;764;384;-292;-187;375;230;859;277;
47;807;807;763;765;765;385;-298;-182;366;229;859;277;
48;806;807;762;765;764;384;-285;-183;370;230;859;281;
49;805;805;763;765;764;384;-296;-184;372;229;859;281;
50;805;807;766;765;764;384;-295;-186;374;230;859;281;
51;805;812;768;766;765;384;-300;-187;372;229;858;281;
52;805;815;767;765;764;384;-292;-189;372;229;858;281;
53;807;816;768;764;764;384;-290;-190;372;229;858;280;
54;809;815;767;764;764;384;-290;-188;373;229;859;280;
55;809;812;765;764;764;385;-289;-192;376;229;858;205;
56;809;808;765;764;764;385;-295;-184;369;229;858;206;
57;807;806;764;764;764;384;-292;-183;372;229;858;196;
58;806;806;764;764;764;383;-295;-181;374;229;858;276;
59;805;805;764;764;764;384;-297;-178;369;230;858;277;
60;805;805;764;764;765;384;-297;-178;373;230;858;276;
61;805;804;764;765;765;384;-285;-182;371;230;858;281;
62;804;804;762;765;765;384;-292;-178;373;229;858;281;
63;805;808;764;765;764;383;-292;-181;376;229;858;281;
64;807;808;765;765;764;384;-296;-179;370;229;858;281;
65;807;808;764;765;764;385;-293;-171;373;229;858;281;
66;807;808;764;765;764;385;-295;-179;367;230;857;281;
67;807;807;765;765;764;384;-295;-182;375;229;858;280;
68;807;808;765;765;764;384;-288;-181;375;229;857;206;
69;807;809;765;765;764;383;-290;-182;368;229;858;206;
70;806;810;765;765;765;383;-287;-185;373;229;857;196;
71;807;809;765;765;764;384;-294;-185;372;230;858;277;
72;806;809;765;765;765;384;-289;-183;372;230;857;277;
73;805;810;765;765;764;383;-290;-180;375;230;858;281;
74;806;810;766;765;764;384;-296;-184;369;230;857;281;
75;805;809;765;764;764;384;-290;-184;375;230;858;281;
76;806;809;765;765;764;384;-295;-186;373;229;857;281;
77;806;809;765;765;764;384;-291;-187;373;230;858;281;
78;805;809;765;765;764;384;-298;-177;369;230;858;281;
79;806;809;765;764;764;384;-296;-181;373;229;858;281;
80;807;809;766;764;764;384;-295;-187;370;230;858;280;
81;806;809;766;764;764;384;-292;-186;375;229;857;206;
